"ID","IC50"
1,2.32648632588091
5,2.89911048426818
11,2.32648632588091
15,2.32648632588091
19,1.6021311115144
32,2.32648632588091
46,2.32648632588091
52,2.32648632588091
75,2.28936384812521
82,2.28936384812521
84,2.28936384812521
86,2.49313980786188
90,2.32648632588091
108,1.20561528035
116,2.32648632588091
122,2.32648632588091
126,2.32648632588091
130,1.74725282661111
133,2.32648632588091
141,2.32648632588091
149,2.32648632588091
158,2.54013940957538
167,2.28936384812521
170,1.24911368608397
171,0.381165140865785
177,2.7012227055759
206,2.87002618428372
221,2.32648632588091
224,2.77116104848959
225,2.32648632588091
228,2.77116104848959
240,2.77116104848959
250,2.17068057104019
258,2.89956052521751
273,2.32648632588091
282,3.17540009215782
291,3.35868793955769
299,2.32648632588091
303,2.77116104848959
307,2.32648632588091
311,2.32648632588091
313,2.32648632588091
315,2.32648632588091
324,2.28936384812521
327,3.39140764665732
335,0.983941865988817
336,2.83051459993478
352,2.32648632588091
357,3.35868793955769
363,2.83051459993478
376,2.32648632588091
380,2.32648632588091
382,0.670860605531361
383,2.32648632588091
389,2.32648632588091
390,2.32648632588091
392,2.14355284864371
399,2.28936384812521
411,2.32648632588091
419,1.12675699612616
439,2.77116104848959
451,2.11394130550155
454,2.32648632588091
465,0.227985478861826
467,2.32648632588091
468,3.20414116660477
477,2.32648632588091
480,2.32648632588091
488,2.32648632588091
492,2.32648632588091
497,2.32648632588091
502,0.387665641292044
505,0.85984294977988
506,1.75312721348333
509,2.32648632588091
515,2.32648632588091
517,0.125153886063933
537,1.11395301941739
543,2.32648632588091
551,2.32648632588091
559,1.91970771618672
565,2.32648632588091
566,2.32648632588091
576,3.35868793955769
577,2.17068057104019
585,2.32648632588091
590,2.28936384812521
591,0.889087146712703
593,2.32648632588091
594,2.32648632588091
595,2.32648632588091
598,-0.262441295315299
599,2.32648632588091
605,0.223286379122143
608,2.32648632588091
615,2.32648632588091
621,2.89911048426818
629,2.32648632588091
635,2.32648632588091
638,2.32648632588091
